Package,Version WAVES,requirement,channel
accelerometer,7.3.0,accelerometer=7.3.0,pypi
bzip2,1.0.8,bzip2=1.0.8,conda-forge
ca-certificates,2026.1.4,ca-certificates=2026.1.4,conda-forge
cycler,0.12.1,cycler=0.12.1,pypi
fonttools,4.60.2,fonttools=4.60.2,pypi
imbalanced-learn,0.8.1,imbalanced-learn=0.8.1,pypi
joblib,1.1.1,joblib=1.1.1,pypi
kiwisolver,1.4.7,kiwisolver=1.4.7,pypi
libexpat,2.7.4,libexpat=2.7.4,conda-forge
libffi,3.5.2,libffi=3.5.2,conda-forge
libzlib,1.3.1,libzlib=1.3.1,conda-forge
matplotlib,3.5.3,matplotlib=3.5.3,pypi
numpy,1.21.6,numpy=1.21.6,pypi
openjdk,25.0.2,openjdk=25.0.2,conda-forge
openssl,3.6.1,openssl=3.6.1,conda-forge
packaging,26.0,packaging=26.0,pypi
pandas,1.3.5,pandas=1.3.5,pypi
patsy,1.0.2,patsy=1.0.2,pypi
pillow,11.3.0,pillow=11.3.0,pypi
pip,25.2,pip=25.2,conda-forge
pyparsing,3.3.2,pyparsing=3.3.2,pypi
python,3.9.23,python=3.9.23,conda-forge
python-dateutil,2.9.0.post0,python-dateutil=2.9.0.post0,pypi
pytz,2025.2,pytz=2025.2,pypi
scikit-learn,1.0.2,scikit-learn=1.0.2,pypi
scipy,1.7.3,scipy=1.7.3,pypi
setuptools,80.9.0,setuptools=80.9.0,conda-forge
six,1.17.0,six=1.17.0,pypi
statsmodels,0.13.5,statsmodels=0.13.5,pypi
threadpoolctl,3.6.0,threadpoolctl=3.6.0,pypi
tk,8.6.13,tk=8.6.13,conda-forge
tqdm,4.65.2,tqdm=4.65.2,pypi
tzdata,2025c,tzdata=2025c,conda-forge
wheel,0.45.1,wheel=0.45.1,conda-forge
